categories,code,hs_code,type,keywords,description,
USB Flash,A-06-N002,847170,,"bo nho ngoai usb,usb 8g,usb 16g,usb 32,usb 64g, o dia usb, usb kingston, usb sandisk,o luu usb, bo luu tru du lieu usb,sp01-245#&o luu  usb, thiet bi luu tru du lieu",,
SDcard,A-06-N003,84717050,,"the nho, sd card,sdcard,card sd,sd card",,
SDcard,A-06-N003,84718070,,sd card,,
Radiators,A-06-N004,8473,,"quat tan nhiet, tan nhiet nuoc",,
Server,A-04-N002,847249,,"may tinh chu, may chu server, bo xu ly may chu",,
Server,A-04-N002,8471,startwith,"may tinh chu,may chu,.#&may chu",,
Attendance Recorder,A-04-N014,,startwith,may cham cong,,
Software,A-04-N001,,startwith,"usb chua phan mem, dia chia phan mem, bo phan mem, goi phan mem, phan mem thiet bi, ban quyen su dung phan mem, phan mem microsoft, day so kich hoat phan mem",,
Software,A-04-N001,85176100,startwith,phan mem va ban quyen phan mem,,
Phone Accessories,A-05-N003,847330,,"op lung dien thoai, tai nghe khong day, pin sac du phong,dien ",,
Phone Accessories,,"8517,8471",,"bo phu kien dtdd,but cam ung;,cap sac nhanh,cap truyen du lieu dung cho dien thoai thong minh",,
Phone Component Part,,85177021,,,,
Tablet Component Part,,847330,,may tinh bang,,
Tablet Component Part,,84718010,,"cuc sac may tinh bang,vo op may tinh bang",,
Phone Component Part,,"8517,8518,8471",,"man hinh cua dien thoai di dong,bang mach dien tu cua man hinh dien thoai di dong,nap che pin dien thoai di dong,cum linh kien dtdd ,cum linh kien,cum vo truoc cua dien thoai di dong,cum vo truoc cua dien thoai di dong,cua dien thoai di dong,cho dien thoai di dong,mach in mem da lap rap dung cho dien thoai,vo loa dien thoai di dong bang nhua,man hinh cam ung dien thoai di dong,tam cam ung cua man hinh dien thoai,nap giua dien thoai di dong sau khi lap rap,tam dan huong anh sang trong dien thoai di dong,nap truoc dien thoai di dong sau khi lap rap,nap sau dien thoai di dong,mobile phone parts (assy_b_cover_grey_otr),assy_b_cover_red_otr,plastic_a_cover_assy_grey_pcm,phim chuc nang cua dtdd chua lap rap hoan chinh,vo dien thoai,vo ngoai camera dien thoai di dong bang nhua,ang ten dien thoai di dong loai sm",,
Interactive pen displays,,,start with,bang ve dien tu,,
Speaker,A-06-N001,852829,,,,
